model,dataset_size,test_size,param_id,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,precision,recall,f1,roc_auc,colsample_bytree,learning_rate,subsample,score
RandomForest,500,0.3,24,20.0,sqrt,1.0,2.0,100,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9860444444444444,,,,0.9511612911065543
RandomForest,500,0.3,25,20.0,sqrt,1.0,2.0,200,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9881777777777778,,,,0.9513746244398876
RandomForest,500,0.3,26,20.0,sqrt,1.0,2.0,300,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9875555555555555,,,,0.9513124022176654
RandomForest,500,0.3,27,20.0,sqrt,1.0,5.0,100,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.989688888888889,,,,0.9515257355509987
RandomForest,500,0.3,28,20.0,sqrt,1.0,5.0,200,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9888,,,,0.9514368466621098
RandomForest,500,0.3,29,20.0,sqrt,1.0,5.0,300,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9886222222222223,,,,0.951419068884332
RandomForest,500,0.3,30,20.0,sqrt,2.0,2.0,100,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9902222222222222,,,,0.9515790688843321
RandomForest,500,0.3,31,20.0,sqrt,2.0,2.0,200,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9911111111111112,,,,0.951667957773221
RandomForest,500,0.3,32,20.0,sqrt,2.0,2.0,300,0.94,0.9342105263157895,0.9466666666666667,0.9403973509933775,0.9909333333333333,,,,0.9453879772278379
RandomForest,500,0.3,33,20.0,sqrt,2.0,5.0,100,0.9533333333333334,0.9473684210526315,0.96,0.9536423841059603,0.9925333333333334,,,,0.9574863994423143
RandomForest,500,0.3,34,20.0,sqrt,2.0,5.0,200,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9911111111111112,,,,0.951667957773221
RandomForest,500,0.3,35,20.0,sqrt,2.0,5.0,300,0.94,0.9342105263157895,0.9466666666666667,0.9403973509933775,0.9907555555555556,,,,0.9453701994500601
RandomForest,1000,0.1,0,,sqrt,1.0,2.0,100,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9992,,,,0.9910281343428462
RandomForest,1000,0.1,1,,sqrt,1.0,2.0,200,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9992,,,,0.9910281343428462
RandomForest,1000,0.1,2,,sqrt,1.0,2.0,300,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9987999999999999,,,,0.9909881343428462
RandomForest,1000,0.1,3,,sqrt,1.0,5.0,100,0.99,0.9803921568627451,1.0,0.9900990099009901,0.998,,,,0.9909081343428462
RandomForest,1000,0.1,4,,sqrt,1.0,5.0,200,0.99,0.9803921568627451,1.0,0.9900990099009901,0.998,,,,0.9909081343428462
RandomForest,1000,0.1,5,,sqrt,1.0,5.0,300,0.99,0.9803921568627451,1.0,0.9900990099009901,0.998,,,,0.9909081343428462
RandomForest,1000,0.1,6,,sqrt,2.0,2.0,100,0.99,0.9803921568627451,1.0,0.9900990099009901,0.998,,,,0.9909081343428462
RandomForest,1000,0.1,7,,sqrt,2.0,2.0,200,0.99,0.9803921568627451,1.0,0.9900990099009901,0.998,,,,0.9909081343428462
RandomForest,1000,0.1,8,,sqrt,2.0,2.0,300,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9988,,,,0.9909881343428462
RandomForest,1000,0.1,9,,sqrt,2.0,5.0,100,0.99,0.9803921568627451,1.0,0.9900990099009901,0.998,,,,0.9909081343428462
RandomForest,1000,0.1,10,,sqrt,2.0,5.0,200,0.99,0.9803921568627451,1.0,0.9900990099009901,0.998,,,,0.9909081343428462
RandomForest,1000,0.1,11,,sqrt,2.0,5.0,300,0.99,0.9803921568627451,1.0,0.9900990099009901,0.998,,,,0.9909081343428462
RandomForest,1000,0.1,12,10.0,sqrt,1.0,2.0,100,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9984,,,,0.9909481343428462
RandomForest,1000,0.1,13,10.0,sqrt,1.0,2.0,200,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9988,,,,0.9909881343428462
RandomForest,1000,0.1,14,10.0,sqrt,1.0,2.0,300,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9988,,,,0.9909881343428462
RandomForest,1000,0.1,15,10.0,sqrt,1.0,5.0,100,0.99,0.9803921568627451,1.0,0.9900990099009901,0.998,,,,0.9909081343428462
RandomForest,1000,0.1,16,10.0,sqrt,1.0,5.0,200,0.99,0.9803921568627451,1.0,0.9900990099009901,0.998,,,,0.9909081343428462
RandomForest,1000,0.1,17,10.0,sqrt,1.0,5.0,300,0.99,0.9803921568627451,1.0,0.9900990099009901,0.998,,,,0.9909081343428462
RandomForest,1000,0.1,18,10.0,sqrt,2.0,2.0,100,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9975999999999999,,,,0.9908681343428462
RandomForest,1000,0.1,19,10.0,sqrt,2.0,2.0,200,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9975999999999999,,,,0.9908681343428462
RandomForest,1000,0.1,20,10.0,sqrt,2.0,2.0,300,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9975999999999999,,,,0.9908681343428462
RandomForest,1000,0.1,21,10.0,sqrt,2.0,5.0,100,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9968,,,,0.9907881343428462
RandomForest,1000,0.1,22,10.0,sqrt,2.0,5.0,200,0.99,0.9803921568627451,1.0,0.9900990099009901,0.998,,,,0.9909081343428462
RandomForest,1000,0.1,23,10.0,sqrt,2.0,5.0,300,0.99,0.9803921568627451,1.0,0.9900990099009901,0.998,,,,0.9909081343428462
RandomForest,1000,0.1,24,20.0,sqrt,1.0,2.0,100,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9992,,,,0.9910281343428462
RandomForest,1000,0.1,25,20.0,sqrt,1.0,2.0,200,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9992,,,,0.9910281343428462
