model,dataset_size,test_size,param_id,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,precision,recall,f1,roc_auc,colsample_bytree,learning_rate,subsample,score
XGBoost,2000,0.3,262,6.0,,,,300,0.9883333333333333,0.9932659932659933,0.9833333333333333,0.9882747068676717,0.9991777777777777,0.8,0.05,0.8,0.9893867218246113
XGBoost,2000,0.3,263,6.0,,,,300,0.9916666666666667,0.9933110367892977,0.99,0.991652754590985,0.9993333333333333,0.8,0.05,1.0,0.9924247004018217
XGBoost,2000,0.3,264,8.0,,,,100,0.9833333333333333,0.9865771812080537,0.98,0.9832775919732442,0.9990777777777778,0.8,0.05,0.8,0.9848731582780285
XGBoost,2000,0.3,265,8.0,,,,100,0.9816666666666667,0.9832775919732442,0.98,0.9816360601001669,0.9991444444444444,0.8,0.05,1.0,0.9833941142024767
XGBoost,2000,0.3,266,8.0,,,,200,0.9883333333333333,0.9899665551839465,0.9866666666666667,0.988313856427379,0.9992333333333333,0.8,0.05,0.8,0.9894108012983364
XGBoost,2000,0.3,267,8.0,,,,200,0.9883333333333333,0.9899665551839465,0.9866666666666667,0.988313856427379,0.9992888888888889,0.8,0.05,1.0,0.9894163568538918
XGBoost,2000,0.3,268,8.0,,,,300,0.9883333333333333,0.9932659932659933,0.9833333333333333,0.9882747068676717,0.9991333333333332,0.8,0.05,0.8,0.9893822773801668
XGBoost,2000,0.3,269,8.0,,,,300,0.99,0.9932885906040269,0.9866666666666667,0.9899665551839465,0.9993000000000001,0.8,0.05,1.0,0.9909110180093228
XGBoost,2000,0.3,270,4.0,,,,100,0.985,0.9866220735785953,0.9833333333333333,0.9849749582637729,0.9992111111111112,0.8,0.1,0.8,0.9864046799726287
XGBoost,2000,0.3,271,4.0,,,,100,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9992333333333334,0.8,0.1,1.0,0.9879233333333335
XGBoost,2000,0.3,272,4.0,,,,200,0.9866666666666667,0.9899328859060402,0.9833333333333333,0.9866220735785953,0.9989666666666668,0.8,0.1,0.8,0.9878698659214533
XGBoost,2000,0.3,273,4.0,,,,200,0.9883333333333333,0.9899665551839465,0.9866666666666667,0.988313856427379,0.9991111111111112,0.8,0.1,1.0,0.9893985790761142
XGBoost,2000,0.3,274,4.0,,,,300,0.9816666666666667,0.9832775919732442,0.98,0.9816360601001669,0.9988666666666667,0.8,0.1,0.8,0.983366336424699
XGBoost,2000,0.3,275,4.0,,,,300,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9990888888888889,0.8,0.1,1.0,0.9879088888888891
XGBoost,2000,0.3,276,6.0,,,,100,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9991666666666666,0.8,0.1,0.8,0.9849166666666667
XGBoost,2000,0.3,277,6.0,,,,100,0.9883333333333333,0.9899665551839465,0.9866666666666667,0.988313856427379,0.9993444444444444,0.8,0.1,1.0,0.9894219124094474
XGBoost,2000,0.3,278,6.0,,,,200,0.9816666666666667,0.9832775919732442,0.98,0.9816360601001669,0.9991111111111112,0.8,0.1,0.8,0.9833907808691433
XGBoost,2000,0.3,279,6.0,,,,200,0.9866666666666667,0.9932432432432432,0.98,0.9865771812080537,0.9993,0.8,0.1,1.0,0.9878851363443981
XGBoost,2000,0.3,280,6.0,,,,300,0.9816666666666667,0.9832775919732442,0.98,0.9816360601001669,0.9990777777777777,0.8,0.1,0.8,0.9833874475358101
XGBoost,2000,0.3,281,6.0,,,,300,0.9833333333333333,0.9865771812080537,0.98,0.9832775919732442,0.9991333333333333,0.8,0.1,1.0,0.9848787138335839
XGBoost,2000,0.3,282,8.0,,,,100,0.9833333333333333,0.9865771812080537,0.98,0.9832775919732442,0.9992666666666666,0.8,0.1,0.8,0.9848920471669174
XGBoost,2000,0.3,283,8.0,,,,100,0.9883333333333333,0.9899665551839465,0.9866666666666667,0.988313856427379,0.9993444444444444,0.8,0.1,1.0,0.9894219124094474
