model,dataset_size,test_size,param_id,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,precision,recall,f1,roc_auc,colsample_bytree,learning_rate,subsample
XGBoost,2000,0.2,147,4.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.99955,0.8,0.05,1.0
XGBoost,2000,0.2,148,4.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999625,0.8,0.05,0.8
XGBoost,2000,0.2,149,4.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999575,0.8,0.05,1.0
XGBoost,2000,0.2,150,6.0,,,,100,0.99,0.99,0.99,0.99,0.999175,0.8,0.05,0.8
XGBoost,2000,0.2,151,6.0,,,,100,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9991749999999999,0.8,0.05,1.0
XGBoost,2000,0.2,152,6.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.99945,0.8,0.05,0.8
XGBoost,2000,0.2,153,6.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9995,0.8,0.05,1.0
XGBoost,2000,0.2,154,6.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.99955,0.8,0.05,0.8
XGBoost,2000,0.2,155,6.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.99955,0.8,0.05,1.0
XGBoost,2000,0.2,156,8.0,,,,100,0.99,0.99,0.99,0.99,0.9993500000000001,0.8,0.05,0.8
XGBoost,2000,0.2,157,8.0,,,,100,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991249999999999,0.8,0.05,1.0
XGBoost,2000,0.2,158,8.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999525,0.8,0.05,0.8
XGBoost,2000,0.2,159,8.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9994000000000001,0.8,0.05,1.0
XGBoost,2000,0.2,160,8.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999525,0.8,0.05,0.8
XGBoost,2000,0.2,161,8.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9994999999999999,0.8,0.05,1.0
XGBoost,2000,0.2,162,4.0,,,,100,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.99975,0.8,0.1,0.8
XGBoost,2000,0.2,163,4.0,,,,100,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9995499999999999,0.8,0.1,1.0
XGBoost,2000,0.2,164,4.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9997999999999999,0.8,0.1,0.8
XGBoost,2000,0.2,165,4.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999625,0.8,0.1,1.0
XGBoost,2000,0.2,166,4.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999725,0.8,0.1,0.8
XGBoost,2000,0.2,167,4.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999475,0.8,0.1,1.0
XGBoost,2000,0.2,168,6.0,,,,100,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999475,0.8,0.1,0.8
XGBoost,2000,0.2,169,6.0,,,,100,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.99955,0.8,0.1,1.0
XGBoost,2000,0.2,170,6.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.99955,0.8,0.1,0.8
XGBoost,2000,0.2,171,6.0,,,,200,0.99,0.9851485148514851,0.995,0.9900497512437811,0.9996,0.8,0.1,1.0
XGBoost,2000,0.2,172,6.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9995250000000001,0.8,0.1,0.8
XGBoost,2000,0.2,173,6.0,,,,300,0.99,0.9851485148514851,0.995,0.9900497512437811,0.99955,0.8,0.1,1.0
XGBoost,2000,0.2,174,8.0,,,,100,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999475,0.8,0.1,0.8
XGBoost,2000,0.2,175,8.0,,,,100,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9994999999999999,0.8,0.1,1.0
XGBoost,2000,0.2,176,8.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999475,0.8,0.1,0.8
XGBoost,2000,0.2,177,8.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999525,0.8,0.1,1.0
XGBoost,2000,0.2,178,8.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9995499999999999,0.8,0.1,0.8
XGBoost,2000,0.2,179,8.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9995249999999999,0.8,0.1,1.0
XGBoost,2000,0.2,180,4.0,,,,100,0.9875,0.9899497487437185,0.985,0.9874686716791979,0.99925,1.0,0.05,0.8
XGBoost,2000,0.2,181,4.0,,,,100,0.99,0.99,0.99,0.99,0.999075,1.0,0.05,1.0
XGBoost,2000,0.2,182,4.0,,,,200,0.99,0.99,0.99,0.99,0.999525,1.0,0.05,0.8
XGBoost,2000,0.2,183,4.0,,,,200,0.9875,0.9850746268656716,0.99,0.9875311720698254,0.999375,1.0,0.05,1.0
XGBoost,2000,0.2,184,4.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9997,1.0,0.05,0.8
XGBoost,2000,0.2,185,4.0,,,,300,0.99,0.9851485148514851,0.995,0.9900497512437811,0.999425,1.0,0.05,1.0
XGBoost,2000,0.2,186,6.0,,,,100,0.99,0.99,0.99,0.99,0.999225,1.0,0.05,0.8
XGBoost,2000,0.2,187,6.0,,,,100,0.99,0.9851485148514851,0.995,0.9900497512437811,0.999175,1.0,0.05,1.0
XGBoost,2000,0.2,188,6.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9994999999999999,1.0,0.05,0.8
XGBoost,2000,0.2,189,6.0,,,,200,0.99,0.9851485148514851,0.995,0.9900497512437811,0.99935,1.0,0.05,1.0
XGBoost,2000,0.2,190,6.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.99955,1.0,0.05,0.8
XGBoost,2000,0.2,191,6.0,,,,300,0.99,0.9851485148514851,0.995,0.9900497512437811,0.99945,1.0,0.05,1.0
XGBoost,2000,0.2,192,8.0,,,,100,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9992250000000001,1.0,0.05,0.8
XGBoost,2000,0.2,193,8.0,,,,100,0.9925,0.9852216748768473,1.0,0.9925558312655087,0.99895,1.0,0.05,1.0
XGBoost,2000,0.2,194,8.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999425,1.0,0.05,0.8
XGBoost,2000,0.2,195,8.0,,,,200,0.99,0.9851485148514851,0.995,0.9900497512437811,0.99945,1.0,0.05,1.0
XGBoost,2000,0.2,196,8.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9995499999999999,1.0,0.05,0.8
XGBoost,2000,0.2,197,8.0,,,,300,0.99,0.9851485148514851,0.995,0.9900497512437811,0.999525,1.0,0.05,1.0
XGBoost,2000,0.2,198,4.0,,,,100,0.99,0.99,0.99,0.99,0.99955,1.0,0.1,0.8
XGBoost,2000,0.2,199,4.0,,,,100,0.9875,0.9850746268656716,0.99,0.9875311720698254,0.99935,1.0,0.1,1.0
XGBoost,2000,0.2,200,4.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.99965,1.0,0.1,0.8
XGBoost,2000,0.2,201,4.0,,,,200,0.99,0.9851485148514851,0.995,0.9900497512437811,0.9995,1.0,0.1,1.0
XGBoost,2000,0.2,202,4.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999725,1.0,0.1,0.8
