model,dataset_size,test_size,param_id,colsample_bytree,learning_rate,max_depth,n_estimators,subsample,accuracy,precision,recall,f1,roc_auc
XGBoost,500,0.3,18,0.8,0.1,4,100,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9893333333333333
XGBoost,500,0.3,19,0.8,0.1,4,100,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.989511111111111
XGBoost,500,0.3,20,0.8,0.1,4,300,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9905777777777778
XGBoost,500,0.3,21,0.8,0.1,4,300,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9902222222222222
XGBoost,500,0.3,22,0.8,0.1,4,500,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9904000000000001
XGBoost,500,0.3,23,0.8,0.1,4,500,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9905777777777778
XGBoost,500,0.3,24,0.8,0.1,6,100,0.8,0.94,0.9230769230769231,0.96,0.9411764705882353,0.9870222222222222
XGBoost,500,0.3,25,0.8,0.1,6,100,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9889777777777777
XGBoost,500,0.3,26,0.8,0.1,6,300,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9902222222222221
XGBoost,500,0.3,27,0.8,0.1,6,300,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9902222222222222
XGBoost,500,0.3,28,0.8,0.1,6,500,0.8,0.94,0.9230769230769231,0.96,0.9411764705882353,0.9900444444444445
XGBoost,500,0.3,29,0.8,0.1,6,500,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9907555555555556
XGBoost,500,0.3,30,0.8,0.1,8,100,0.8,0.94,0.9230769230769231,0.96,0.9411764705882353,0.9870222222222222
XGBoost,500,0.3,31,0.8,0.1,8,100,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9889777777777777
XGBoost,500,0.3,32,0.8,0.1,8,300,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9902222222222221
XGBoost,500,0.3,33,0.8,0.1,8,300,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9902222222222222
XGBoost,500,0.3,34,0.8,0.1,8,500,0.8,0.94,0.9230769230769231,0.96,0.9411764705882353,0.9900444444444445
XGBoost,500,0.3,35,0.8,0.1,8,500,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9907555555555556
XGBoost,500,0.3,36,1.0,0.05,4,100,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9886222222222222
XGBoost,500,0.3,37,1.0,0.05,4,100,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9854222222222223
XGBoost,500,0.3,38,1.0,0.05,4,300,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9900444444444444
XGBoost,500,0.3,39,1.0,0.05,4,300,1.0,0.94,0.9230769230769231,0.96,0.9411764705882353,0.9891555555555556
XGBoost,500,0.3,40,1.0,0.05,4,500,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9904
